区站号,年,月,日,风向,风速
58323,2004,1,1,W,1.0
58323,2004,1,2,W,3.0
58323,2004,1,3,SSE,2.0
58323,2004,1,4,N,1.0
58323,2004,1,5,NE,2.0
58323,2004,1,6,SE,1.0
58323,2004,1,7,ENE,5.0
58323,2004,1,8,NE,3.0
58323,2004,1,9,NNE,1.0
58323,2004,1,10,N,4.0
58323,2004,1,11,C,0.0
58323,2004,1,12,NW,3.0
58323,2004,1,13,SW,3.0
58323,2004,1,14,ESE,2.0
58323,2004,1,15,NNE,3.0
58323,2004,1,16,N,3.0
58323,2004,1,17,NE,2.0
58323,2004,1,18,N,3.0
58323,2004,1,19,NW,1.0
58323,2004,1,20,WNW,3.0
58323,2004,1,21,NNE,4.0
58323,2004,1,22,SE,3.0
58323,2004,1,23,WNW,6.0
58323,2004,1,24,WNW,4.0
58323,2004,1,25,ENE,1.0
58323,2004,1,26,ENE,1.0
58323,2004,1,27,NW,4.0
58323,2004,1,28,SSE,2.0
58323,2004,1,29,C,0.0
58323,2004,1,30,ESE,2.0
58323,2004,1,31,E,1.0
58323,2004,2,1,N,4.0
58323,2004,2,2,NNE,4.0
58323,2004,2,3,WNW,4.0
58323,2004,2,4,NW,3.0
58323,2004,2,5,WNW,2.0
58323,2004,2,6,WNW,3.0
58323,2004,2,7,WNW,2.0
58323,2004,2,8,W,1.0
58323,2004,2,9,E,1.0
58323,2004,2,10,SSW,3.0
58323,2004,2,11,SE,3.0
58323,2004,2,12,ENE,1.0
58323,2004,2,13,SW,6.0
58323,2004,2,14,E,4.0
58323,2004,2,15,SSE,3.0
58323,2004,2,16,NW,3.0
58323,2004,2,17,C,0.0
58323,2004,2,18,S,3.0
58323,2004,2,19,SE,3.0
58323,2004,2,20,ESE,4.0
58323,2004,2,21,NW,3.0
58323,2004,2,22,NW,4.0
58323,2004,2,23,ESE,4.0
58323,2004,2,24,C,0.0
58323,2004,2,25,NW,6.0
58323,2004,2,26,WNW,4.0
58323,2004,2,27,SSE,2.0
58323,2004,2,28,C,0.0
58323,2004,2,29,NE,4.0
58323,2004,3,1,SE,3.0
58323,2004,3,2,E,4.0
58323,2004,3,3,WNW,4.0
58323,2004,3,4,S,5.0
58323,2004,3,5,NW,5.0
58323,2004,3,6,NNW,3.0
58323,2004,3,7,NNE,2.0
58323,2004,3,8,SSW,4.0
58323,2004,3,9,SSW,7.0
58323,2004,3,10,SSW,4.0
58323,2004,3,11,NE,4.0
58323,2004,3,12,E,2.0
58323,2004,3,13,C,0.0
58323,2004,3,14,WNW,1.0
58323,2004,3,15,SSW,3.0
58323,2004,3,16,SSW,7.0
58323,2004,3,17,NE,4.0
58323,2004,3,18,E,3.0
58323,2004,3,19,ESE,2.0
58323,2004,3,20,ENE,5.0
58323,2004,3,21,C,0.0
58323,2004,3,22,ESE,3.0
58323,2004,3,23,NW,1.0
58323,2004,3,24,NNE,1.0
58323,2004,3,25,NE,3.0
58323,2004,3,26,E,2.0
58323,2004,3,27,NE,3.0
58323,2004,3,28,NE,2.0
58323,2004,3,29,N,3.0
58323,2004,3,30,E,2.0
58323,2004,3,31,SE,6.0
58323,2004,4,1,WNW,3.0
58323,2004,4,2,SSW,3.0
58323,2004,4,3,NE,4.0
58323,2004,4,4,SE,3.0
58323,2004,4,5,S,5.0
58323,2004,4,6,C,0.0
58323,2004,4,7,NE,3.0
58323,2004,4,8,SSE,3.0
58323,2004,4,9,SSW,3.0
58323,2004,4,10,S,3.0
58323,2004,4,11,SSW,2.0
58323,2004,4,12,ENE,3.0
58323,2004,4,13,NNE,2.0
58323,2004,4,14,ESE,5.0
58323,2004,4,15,SSE,2.0
58323,2004,4,16,SSE,3.0
58323,2004,4,17,S,2.0
58323,2004,4,18,N,2.0
58323,2004,4,19,SSW,5.0
58323,2004,4,20,SSW,2.0
58323,2004,4,21,SSW,7.0
58323,2004,4,22,S,4.0
58323,2004,4,23,NE,5.0
58323,2004,4,24,E,6.0
58323,2004,4,25,SSE,4.0
58323,2004,4,26,WNW,2.0
58323,2004,4,27,WNW,1.0
58323,2004,4,28,SSW,4.0
58323,2004,4,29,E,2.0
58323,2004,4,30,NE,5.0
58323,2004,5,1,C,0.0
58323,2004,5,2,C,0.0
58323,2004,5,3,NW,5.0
58323,2004,5,4,SW,2.0
58323,2004,5,5,SSW,4.0
58323,2004,5,6,SSE,4.0
