周一,周二,周三,周四,周五,周六,周日,,开学第一周周一日期,,2022.02.21
"体育（4）
1-18周3-4节
N/A
体育部","环境化学Ⅰ
1-16周1-2节
(中苑)明德N609
石陶然/吴洪生","作物栽培学
1-16周3-4节
(中苑)文德S204
李映雪/郎漫","环境化学Ⅰ
1-16(单)周1-2节
(中苑)文德N209
石陶然/吴洪生","学术英语（2）
1-18周1-2节
N/A
大外部",,,,,上课时间,"课程时长
,（分钟）"
"基础微生物学
1-16周5-6节
(中苑)明德N108
纪洋","植物生理学
1-16周3-4节
(中苑)明德N108
郎漫","


","遥感原理与应用Ⅱ
1-16周3-4节
(中苑)文德S301
李映雪","气象灾害学
1-16周3-4节
(中苑)文德S204
王琪",,,,第1节,8:00,45
"智能农业
1-16周7-8节
(中苑)文德N210
吴春发","学术英语（2）
1-18周5-6节
N/A
大外部","


","土壤学
1-16周5-6节
(中苑)文德S601
王艳玲","


",,,,第2节,8:55,45
"


","


","


","土壤地理学
1-16周7-8节
(中苑)文德N210
孙丽英/李平","


",,,,第3节,10:10,45
"


","


","


","


","


",,,,第4节,11:05,45
"


","


","


","


","


",,,,第5节,13:45,45
"


","


","


","


","


",,,,第6节,14:40,45
"


","


","


","


","


",,,,第7节,15:55,45
"


","


","


","


","


",,,,第8节,16:50,45
"


","


","


","


","


",,,,第9节,18:45,45
"


","


","


","


","


",,,,第10节,19:45,45
