周一,周二,周三,周四,周五,周六,周日,,开学第一周周一日期,,2022.02.21
"中尺度气象学与数值模拟
1-16周3-4节
(中苑)西阶
史湘军/葛旭阳","数值天气预报Ⅰ
1-16周1-2节
(中苑)明德N309
邵海燕/陈耀登","就业指导
1-5周3-4节
(中苑)明德N215
张皓/叶玉娣/马力/左泉/宋立军","毛泽东思想和中国特色社会主义理论体系概论
1-16(双)周1-2节
(中苑)明德N515
冯灵芝","1-18周",,,,,上课时间,"课程时长
,（分钟）"
"1-18周","毛泽东思想和中国特色社会主义理论体系概论
1-16周3-4节
(中苑)明德N515
冯灵芝","


","1-18周","数值天气预报Ⅰ
1-16周3-4节
(中苑)明德N309
邵海燕/陈耀登",,,,第1节,8:00,45
"


","习近平新时代中国特色社会主义思想概论
1-16周5-6节
(中苑)明德N615
张齐/胡娜/江珮/许川川","


","习近平新时代中国特色社会主义思想概论
1-16(单)周5-6节
(中苑)明德N615
张齐/胡娜/江珮/许川川","中尺度气象学与数值模拟
1-16(单)周5-6节
(中苑)西阶
史湘军/葛旭阳",,,,第2节,8:55,45
"


","1-18周","


","短期气候预测
1-16周7-8节
(中苑)明德N509
彭丽霞","1-18周",,,,第3节,10:10,45
"


","


","


","


","


",,,,第4节,11:05,45
"


","


","


","


","


",,,,第5节,13:45,45
"


","


","


","


","


",,,,第6节,14:40,45
"


","


","


","


","


",,,,第7节,15:55,45
"


","


","


","


","


",,,,第8节,16:50,45
"


","


","


","


","


",,,,第9节,18:45,45
"


","


","


","


","


",,,,第10节,19:45,45
