周一,周二,周三,周四,周五,周六,周日,,开学第一周周一日期,,2022.02.21
"气象程序设计及绘图Ⅰ
1-16(单)周3-4节
(中苑)明德N104
许冬梅","天气学原理
1-16周1-2节
(中苑)文德N615
李娟/马静","现代气候学
1-16周3-4节
(中苑)明德N104
蔡晓军","大气探测学
1-16周1-2节
(中苑)明德S403
杨元建","天气学原理
1-16周3-4节
(中苑)文德N615
李娟/马静",,,,,上课时间,"课程时长
,（分钟）"
"现代气候学
1-16(双)周3-4节
(中苑)明德N104
蔡晓军","学术英语（2）
1-18周3-4节
N/A
大外部","


","天气学分析基础
1-16周3-4节
(中苑)文德N619
徐鑫萍","学术英语（2）
1-18周7-8节
N/A
大外部",,,,第1节,8:00,45
"体育（4）
1-18周5-6节
N/A
体育部","


","


","计算方法
1-16周5-6节
(中苑)藕舫楼205
高骏强","


",,,,第2节,8:55,45
"


","


","


","气象程序设计及绘图Ⅰ
1-16周7-8节
(中苑)明德N003
许冬梅","


",,,,第3节,10:10,45
"


","


","


","


","


",,,,第4节,11:05,45
"


","


","


","


","


",,,,第5节,13:45,45
"


","


","


","


","


",,,,第6节,14:40,45
"


","


","


","


","


",,,,第7节,15:55,45
"


","


","


","


","


",,,,第8节,16:50,45
"


","


","


","


","


",,,,第9节,18:45,45
"


","


","


","


","


",,,,第10节,19:45,45
